country_iso_code,year,temperature_change
CMR,2013,0.707
CMR,2014,0.882
CMR,2015,1.16
CMR,2016,1.213
CMR,2017,1.165
CMR,2018,1.156
CMR,2019,1.45
CMR,2020,1.281
CMR,2021,1.47
CMR,2022,1.044
CAN,2000,1.291
CAN,2001,1.421
CAN,2002,0.54
CAN,2003,1.24
CAN,2004,0.485
CAN,2005,1.282
CAN,2006,2.343
CAN,2007,1.333
CAN,2008,0.851
CAN,2009,0.539
CAN,2010,2.915
CAN,2011,1.438
CAN,2012,2.144
CAN,2013,1.182
CAN,2014,0.288
CAN,2015,1.231
CAN,2016,2.373
CAN,2017,1.48
CAN,2018,0.477
CAN,2019,1.311
CAN,2020,1.128
CAN,2021,2.515
CAN,2022,1.268
CAF,2000,0.683
CAF,2001,0.4
CAF,2002,0.745
CAF,2003,0.845
CAF,2004,0.957
CAF,2005,0.983
CAF,2006,0.967
CAF,2007,0.537
CAF,2008,0.682
CAF,2009,1.119
CAF,2010,1.162
CAF,2011,0.763
CAF,2012,0.491
CAF,2013,0.865
CAF,2014,0.697
CAF,2015,0.983
CAF,2016,1.222
CAF,2017,1.224
CAF,2018,1.145
CAF,2019,1.264
CAF,2020,1.14
CAF,2021,1.268
CAF,2022,1.032
TCD,2000,0.281
TCD,2001,0.291
TCD,2002,0.797
TCD,2003,0.838
TCD,2004,0.831
TCD,2005,1.148
TCD,2006,1.368
TCD,2007,0.605
TCD,2008,0.466
TCD,2009,1.236
TCD,2010,1.181
TCD,2011,0.969
TCD,2012,0.553
TCD,2013,1.013
TCD,2014,0.856
TCD,2015,1.294
TCD,2016,0.939
TCD,2017,1.026
TCD,2018,1.527
TCD,2019,1.306
TCD,2020,1.192
TCD,2021,1.146
TCD,2022,0.738
CHL,2000,-0.179
CHL,2001,0.054
CHL,2002,0.14
CHL,2003,0.312
CHL,2004,0.563
CHL,2005,0.275
CHL,2006,0.575
CHL,2007,-0.219
CHL,2008,0.502
CHL,2009,0.52
CHL,2010,-0.015
CHL,2011,0.206
CHL,2012,0.699
CHL,2013,0.434
CHL,2014,0.488
CHL,2015,0.848
CHL,2016,1.022
CHL,2017,0.873
CHL,2018,0.538
CHL,2019,0.683
CHL,2020,0.947
CHL,2021,0.877
CHL,2022,0.407
HKG,2000,0.298
HKG,2001,0.854
HKG,2002,0.961
HKG,2003,0.99
HKG,2004,0.701
HKG,2005,0.733
HKG,2006,0.897
HKG,2007,1.008
HKG,2008,0.415
HKG,2009,0.91
HKG,2010,0.367
HKG,2011,0.333
HKG,2012,0.53
HKG,2013,0.763
HKG,2014,0.703
HKG,2015,1.175
HKG,2016,0.77
HKG,2017,1.338
HKG,2018,1.183
HKG,2019,1.776
HKG,2020,1.882
HKG,2021,2.017
HKG,2022,1.432
MAC,2000,0.298
MAC,2001,0.854
MAC,2002,0.961
MAC,2003,0.99
MAC,2004,0.701
MAC,2005,0.733
MAC,2006,0.897
MAC,2007,1.008
MAC,2008,0.415
MAC,2009,0.91
MAC,2010,0.367
MAC,2011,0.333
MAC,2012,0.53
MAC,2013,0.763
MAC,2014,0.703
MAC,2015,1.175
MAC,2016,0.77
MAC,2017,1.338
MAC,2018,1.183
MAC,2019,1.776
MAC,2020,1.882
MAC,2021,2.017
MAC,2022,1.432
CHN,2000,0.572
CHN,2001,1.038
CHN,2002,1.131
CHN,2003,0.822
CHN,2004,1.112
CHN,2005,1.048
CHN,2006,1.232
CHN,2007,1.538
CHN,2008,1.09
CHN,2009,1.336
CHN,2010,0.968
CHN,2011,0.792
CHN,2012,0.626
CHN,2013,1.073
CHN,2014,1.062
CHN,2015,1.297
CHN,2016,1.319
CHN,2017,1.573
CHN,2018,1.361
CHN,2019,1.422
CHN,2020,1.62
CHN,2021,1.701
CHN,2022,1.906
COL,2000,-0.009
COL,2001,0.438
COL,2002,0.675
COL,2003,0.693
COL,2004,0.585
COL,2005,0.681
COL,2006,0.531
COL,2007,0.641
COL,2008,0.385
COL,2009,0.856
COL,2010,1.037
COL,2011,0.467
COL,2012,0.668
COL,2013,0.834
COL,2014,0.854
COL,2015,1.249
COL,2016,1.08
COL,2017,0.82
COL,2018,1.137
COL,2019,1.397
COL,2020,1.583
COL,2021,1.073
COL,2022,0.874
COM,2000,0.01
COM,2001,0.159
COM,2002,0.613
COM,2003,0.291
COM,2004,0.213
COM,2005,0.309
COM,2006,0.115
COM,2007,0.448
COM,2008,0.28
COM,2009,0.639
COM,2010,0.88
COM,2011,0.516
COM,2012,0.479
COM,2013,0.415
COM,2014,0.509
COM,2015,0.725
COM,2016,0.7
COM,2017,0.95
COM,2018,0.705
COM,2019,1.296
COM,2020,1.03
COM,2021,0.65
COM,2022,0.521
COD,2000,0.537
COD,2001,0.393
COD,2002,0.872
COD,2003,0.961
COD,2004,0.913
COD,2005,1.014
COD,2006,0.844
COD,2007,0.768
