week,week_ending,commit,era,adapter,group,platform,tests_passed,suite_tests,test_pass_pct,functions_supported,suite_functions,function_supported_pct,tests_reported,functions_reported
2026-W16,2026-04-17,14959c88cc,json,ClickHouse,Store_Relational,compiled,561,1201,46.71,140,230,60.87,1201,230
2026-W16,2026-04-17,14959c88cc,json,Databricks,Store_Relational,compiled,606,1201,50.46,147,230,63.91,1201,230
2026-W16,2026-04-17,14959c88cc,json,Deephaven,Store_Deephaven,compiled,76,1201,6.33,29,230,12.61,680,125
2026-W16,2026-04-17,14959c88cc,json,DuckDB,Store_Relational,compiled,941,1201,78.35,197,230,85.65,1201,230
2026-W16,2026-04-17,14959c88cc,json,H2,Store_Relational,compiled,701,1201,58.37,158,230,68.7,1201,230
2026-W16,2026-04-17,14959c88cc,json,Java,Platform,compiled,473,1201,39.38,138,230,60.0,1113,223
2026-W16,2026-04-17,14959c88cc,json,MemSQL,Store_Relational,compiled,442,1201,36.8,119,230,51.74,1201,230
2026-W16,2026-04-17,14959c88cc,json,Native (compiled),,compiled,1195,1201,99.5,230,230,100.0,1201,230
2026-W16,2026-04-17,14959c88cc,json,Native (interpreted),,interpreted,1194,1201,99.42,230,230,100.0,1201,230
2026-W16,2026-04-17,14959c88cc,json,Oracle,Store_Relational,compiled,527,1201,43.88,124,230,53.91,1201,230
2026-W16,2026-04-17,14959c88cc,json,Postgres,Store_Relational,compiled,689,1201,57.37,153,230,66.52,1201,230
2026-W16,2026-04-17,14959c88cc,json,PythonLegendQL,Reverse_PCT,compiled,518,1201,43.13,125,230,54.35,1195,224
2026-W16,2026-04-17,14959c88cc,json,PythonPandasAPI,Reverse_PCT,compiled,608,1201,50.62,132,230,57.39,1195,224
2026-W16,2026-04-17,14959c88cc,json,SQL,Reverse_PCT,compiled,477,1201,39.72,113,230,49.13,1195,224
2026-W16,2026-04-17,14959c88cc,json,Snowflake,Store_Relational,compiled,921,1201,76.69,196,230,85.22,1201,230
2026-W16,2026-04-17,14959c88cc,json,Spanner,Store_Relational,compiled,315,1201,26.23,97,230,42.17,1201,230
2026-W16,2026-04-17,14959c88cc,json,SqlServer,Store_Relational,compiled,368,1201,30.64,102,230,44.35,1201,230
2026-W16,2026-04-17,14959c88cc,json,Trino,Store_Relational,compiled,529,1201,44.05,133,230,57.83,1201,230
2026-W17,2026-04-25,04aa4278ec,json,ClickHouse,Store_Relational,compiled,548,1198,45.74,139,231,60.17,1198,231
2026-W17,2026-04-25,04aa4278ec,json,Databricks,Store_Relational,compiled,591,1198,49.33,146,231,63.2,1198,231
2026-W17,2026-04-25,04aa4278ec,json,Deephaven,Store_Deephaven,compiled,66,1198,5.51,29,231,12.55,672,125
2026-W17,2026-04-25,04aa4278ec,json,DuckDB,Store_Relational,compiled,929,1198,77.55,196,231,84.85,1198,231
2026-W17,2026-04-25,04aa4278ec,json,H2,Store_Relational,compiled,691,1198,57.68,157,231,67.97,1198,231
2026-W17,2026-04-25,04aa4278ec,json,Java,Platform,compiled,476,1198,39.73,138,231,59.74,1110,224
2026-W17,2026-04-25,04aa4278ec,json,MemSQL,Store_Relational,compiled,427,1198,35.64,118,231,51.08,1198,231
2026-W17,2026-04-25,04aa4278ec,json,Native (compiled),,compiled,1192,1198,99.5,231,231,100.0,1198,231
2026-W17,2026-04-25,04aa4278ec,json,Native (interpreted),,interpreted,1191,1198,99.42,231,231,100.0,1198,231
2026-W17,2026-04-25,04aa4278ec,json,Oracle,Store_Relational,compiled,512,1198,42.74,123,231,53.25,1198,231
2026-W17,2026-04-25,04aa4278ec,json,Postgres,Store_Relational,compiled,676,1198,56.43,152,231,65.8,1198,231
